Business Name,Profile,Phone Number,Address,Website,Rating,Review Count,Catagories,Neighborhoods,Extra Phones,e-mail,Other Links,Social Media
LemonBuyBack.com-Law Offices of Jon Jacobs,https://www.yellowpages.com/nationwide/mip/lemonbuyback-com-law-offices-of-jon-jacobs-470783520?lid=1001872303331,Not Listed,Not Available,Not Available,0.0,0,New Car Dealers,"Chesterfield Square, Congress Central, South LA, Congress West, Leimert Park","Phone:(323) 293-6850
Phone:(323) 293-0977
Fax:(323) 293-6850",http://www.info@lincolnucc.org,"http://www.lincolnucc.org
https://lincolnucc.org/staff-4/contact-us",Not Listed
LemonBuyBack.com-Law Offices of Jon Jacobs,https://www.yellowpages.com/nationwide/mip/lemonbuyback-com-law-offices-of-jon-jacobs-470783520?lid=1001872303331,(916) 626-4164,Not Available,http://lemonbuyback.com,5.0,10,"Automobile Body Repairing & Painting, Auto Repair & Service, Automobile Electric Service, New Car Dealers, Windshield Repair","North Hollywood North East, South Valley",Not Listed,http://www.G.David@autobahncenter.com,http://www.autobahncenter.com,Not Listed
El Cajon Ford,https://www.yellowpages.com/el-cajon-ca/mip/el-cajon-ford-22906870?lid=1002106074440,(619) 333-8825,"1595 E Main St, El Cajon, CA 92021",http://www.elcajonford.com,5.0,43,"Automobile Parts & Supplies, Auto Repair & Service, Automobile Accessories, New Car Dealers, New Truck Dealers, Used Car Dealers, Used Truck Dealers","Hollywood Hills West, Central LA","Phone:(310) 271-3476
Phone:(310) 274-3476
Phone:(213) 689-6969
Fax:(818) 753-2565
Sales:(866) 612-9413
Service:(866) 245-8623",Not Listed,http://www.universalcitynissan.com,Not Listed
Jaguar Coventry Cars of San Diego,https://www.yellowpages.com/san-diego-ca/mip/jaguar-coventry-cars-of-san-diego-3143473?lid=1000088497242,(619) 297-9393,"5097 Santa Fe St, San Diego, CA 92109",http://www.coventryjaguar.com,4.5,3,"Automobile & Truck Brokers, Automobile Parts & Supplies, New Car Dealers",Rosemead,Not Listed,Not Listed,Not Listed,Not Listed
Allied Auto Works,https://www.yellowpages.com/los-altos-ca/mip/allied-auto-works-4463797?lid=1002106936481,(650) 209-6897,"2073 Grant Rd, Los Altos, CA 94024",http://www.alliedautoworks.com,0.0,0,New Car Dealers,Tustin,Not Listed,Not Listed,Not Listed,Not Listed
Rector Motor Car Company,https://www.yellowpages.com/burlingame-ca/mip/rector-motor-car-company-464612187?lid=171733719,(650) 897-5087,"1010 Cadillac Way, Burlingame, CA 94010",http://www.rectormotors.com,5.0,3,"Used Car Dealers, New Car Dealers",Not Listed,Phone:(805) 643-1111,Not Listed,Not Listed,Not Listed
Connell Chevrolet,https://www.yellowpages.com/costa-mesa-ca/mip/connell-chevrolet-464645997?lid=1002104579496,(714) 581-8105,"2828 Harbor Blvd, Costa Mesa, CA 92626",http://www.connellchevrolet.com,4.0,5,"New Car Dealers, Used Car Dealers","Highland Park, East LA",Not Listed,Not Listed,Not Listed,Not Listed
Goudy Honda,https://www.yellowpages.com/alhambra-ca/mip/goudy-honda-475492226?lid=1001780231727,(323) 212-5571,"1400 W Main St, Alhambra, CA 91801",http://www.goudyhonda.com/,5.0,23,"New Car Dealers, Auto Repair & Service","Westside Costa Mesa, Costa Mesa",Not Listed,Not Listed,Not Listed,Not Listed
California Auto Buyers,https://www.yellowpages.com/los-angeles-ca/mip/california-auto-buyers-480269236?lid=1002121944714,(323) 596-7189,"2151 East Manchester Avenue, Los Angeles, CA 90001",http://www.californiausedcarbuyers.com,0.0,0,New Car Dealers,"Westside Costa Mesa, Costa Mesa",Not Listed,Not Listed,Not Listed,Not Listed
"Thurston Auto Plaza Chevrolet, Toyota, Honda, Chrysler Dodge Jeep Ram",https://www.yellowpages.com/ukiah-ca/mip/thurston-auto-plaza-chevrolet-toyota-honda-chrysler-dodge-jeep-ram-488956742?lid=1002082302167,(707) 376-9263,"2800 N State St, Ukiah, CA 95482",https://thurstonautoplaza.com,0.0,0,"New Car Dealers, Automobile Body Repairing & Painting, Tire Dealers",Not Listed,Not Listed,"http://www.salesteam@wittmeier.com
http://www.207515@honda.carpoint.msn.com","http://automobiles.honda.com/tools/dealer-locator/results.aspx?cs=2&dealer=207515
http://www.wittmeier.com",Not Listed
